,County,State,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,efuels_area,census_area,census_totpop,census_urbpop,census_rurpop,pct_rural,pop_density,county_class,ghg_globalrank,popden_globalrank,censusarea_globalrank,ghg_staterank,popden_staterank,censusarea_staterank,median_household_income_2018,household_income_ID,annual_vmt,Efuel Station Count,e85_area,E85 Station Count
70,Carlton,MN,214475307000.0,23063670.5,338386516.0,13782245.8,49370.0,11301.223,14218.29,23850.487,22.9,28.8,48.3,22.89087164101985,861.3810000000001,35386,15865,19521,55.2,41.080543917267725,rural,118.0,161.0,253.0,26.0,34.0,27.0,"$60,412",6,12107.865,4.0,28.799453176684764,6.0
71,Chippewa,MN,69492664200.0,8219518.64,120169090.0,5238938.25,17358.000099999994,2406.3483,7865.5427,7086.1091,13.9,45.3,40.8,13.863050213021586,581.122,12441,6178,6263,50.3,21.408585460540127,rural,236.0,226.0,340.0,63.0,52.0,54.0,"$53,540",6,12107.865,1.0,45.31364589629001,3.0
72,Clearwater,MN,50092702000.0,6563917.5,85966827.0,3750810.0,12131.0,0.0,0.0,12131.0,0.0,0.0,100.0,0.0,998.94,8695,0,8695,100.0,8.704226480068872,rural,269.0,306.0,135.0,74.0,79.0,21.0,"$51,475",6,12107.865,,0.0,0.0
73,Cook,MN,30857835500.0,3681041.47,50239083.5,2047613.78,7222.0,1029.9158,0.0,6192.0842,14.3,0.0,85.7,14.26081173738257,1452.277,5176,0,5176,100.0,3.564058371784446,rural,315.0,357.0,68.0,81.0,86.0,12.0,"$54,465",6,12107.865,3.0,0.0,0.0
74,Cottonwood,MN,60027191000.0,7994397.300000003,114724579.0,5434810.4,16306.0,0.0,10135.02,6170.98,0.0,62.2,37.8,0.0,638.61,11687,4409,7278,62.3,18.300684298711268,rural,247.0,246.0,323.0,66.0,57.0,47.0,"$51,788",6,12107.865,,62.15515738680912,4.0
75,Crow Wing,MN,410716762000.0,43339125.4,604771814.0,24952972.0,87200.00099999999,13474.028,10739.546,62986.427,15.5,12.3,72.2,15.451866476268773,999.095,62500,23290,39210,62.7,62.55661373543057,rural,77.0,119.0,134.0,13.0,21.0,20.0,"$53,481",6,12107.865,2.0,12.315992842270408,2.0
76,Douglas,MN,176613338000.0,24672911.9,348148253.0,14520551.6,50240.0003,7751.9022,9847.8131,32640.285,15.4,19.6,65.0,15.429741702101335,637.3,36009,16983,19026,52.8,56.50243213557196,rural,139.0,126.0,324.0,34.0,24.0,48.0,"$60,979",6,12107.865,1.0,19.60153880933721,1.0
77,Faribault,MN,103001281600.0,10883569.3,143782479.9,6326540.0699999975,20304.0,0.0,1255.591,19048.409,0.0,6.2,93.8,0.0,712.4760000000001,14553,3257,11296,77.6,20.42595118993481,rural,192.0,233.0,300.0,51.0,55.0,38.0,"$52,560",6,12107.865,,6.183958626685247,0.0
78,Fillmore,MN,100568096700.0,14346283.0,201052802.0,8089166.2200000025,29111.9999,5551.8853,2248.9556,21311.159,19.1,7.7,73.2,19.070779536006746,861.3,20866,1402,19464,93.3,24.226169743411127,rural,196.0,214.0,254.0,52.0,49.0,28.0,"$58,761",6,12107.865,1.0,7.725184155384973,0.0
79,Grant,MN,37216109000.0,4335997.5,59291634.0,2694174.59,8396.0,0.0,2531.6021,5864.3979,0.0,30.2,69.8,0.0,548.16,6018,0,6018,100.0,10.978546409807356,rural,300.0,284.0,350.0,76.0,71.0,62.0,"$54,917",6,12107.865,,30.15247905863594,3.0
80,Hubbard,MN,144398024490.0,15249781.478,201596440.6,8809427.166000001,28500.99974,296.51174,1302.186,26902.302000000003,1.0,4.6,94.4,1.040355577742986,925.675,20428,3398,17030,83.4,22.068220487752185,rural,155.0,221.0,171.0,39.0,51.0,24.0,"$55,687",6,12107.865,,4.568913388459476,0.0
81,Isanti,MN,235166544000.0,22102602.200000007,353794725.0,13764377.4,52761.001,19714.564,25766.958,7279.479,37.4,48.8,13.8,37.365788229127006,435.79400000000004,37816,14270,23546,62.3,86.77494412497649,rural,112.0,95.0,372.0,22.0,15.0,75.0,"$73,468",6,12107.865,3.0,48.83712877863286,3.0
