,state,county,census_area,efuels_area
372,TX,Colorado,960.2739999999999,0.19173499484983228
373,TX,Comanche,937.7539999999999,0.0
374,TX,Concho,983.799,0.0
375,TX,Donley,926.8860000000001,0.0
376,TX,Duval,1793.481,0.0
377,TX,Eastland,926.4910000000001,0.23821966679949663
378,TX,Edwards,2117.8579999999997,0.0
379,TX,El Paso,1012.693,0.5428698472199975
380,TX,Erath,1083.0710000000001,0.41827536608603894
381,TX,Falls,765.4830000000001,0.0
382,TX,Fannin,890.837,0.0
383,TX,Fayette,950.008,0.26434947798389596
384,TX,Fisher,898.941,0.005252600738481101
385,TX,Franklin,284.39099999999996,0.0
386,TX,Frio,1133.5,0.4
387,TX,Gaines,1502.375,0.0
388,TX,Garza,893.4119999999999,0.4
389,TX,Gillespie,1058.214,0.22213532006852607
390,TX,Gonzales,1066.688,0.007332593892632963
391,TX,Gray,925.9739999999999,0.4
392,TX,Grayson,932.804,0.5804018859960562
393,TX,Robertson,855.683,0.0
394,TX,Washington TX,603.9540000000001,0.35335513028919563
395,TX,Ellis,935.487,0.8213633519765131
396,TX,Cameron,890.922,0.5923034128389543
397,TX,Reeves,2635.375,0.44185439388863834
398,TX,Guadalupe,711.3,0.8553520201628573
