,County,State,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,efuels_area,census_area,census_totpop,census_urbpop,census_rurpop,pct_rural,pop_density,county_class,ghg_globalrank,popden_globalrank,censusarea_globalrank,ghg_staterank,popden_staterank,censusarea_staterank,median_household_income_2018,household_income_ID,household_income,annual_vmt
58,Mahnomen,MN,34483166999.999985,2680507.2,46881918.99999999,1078965.7999999996,7551.999999999999,7552.0,0.0,-1.2591975e-12,100.0,0.0,-0.0,0.0,557.878,5413,0,5413,100.0,9.70283825495897,rural,308.0,296.0,347.0,79.0,73.0,59.0,"$43,162",5,"$35,000 to $49,999",10068.38
59,Norman,MN,31137355000.0,4761729.2,67336275.0,2720988.1,9560.0,0.0,0.0,9560.0,0.0,0.0,100.0,0.0,872.789,6852,0,6852,100.0,7.850694726904212,rural,313.0,310.0,247.0,81.0,80.0,26.0,"$48,799",5,"$35,000 to $49,999",10068.38
60,Traverse,MN,23465278000.0,2472513.0,34964149.0,1412864.5,4964.0,0.0,0.0,4964.0,0.0,0.0,100.0,0.0,573.901,3558,0,3558,100.0,6.199664751124757,rural,336.0,326.0,341.0,86.0,81.0,55.0,"$49,773",5,"$35,000 to $49,999",10068.38
61,Wadena,MN,86975014900.0,9487268.71,135263632.4,5365671.23,19313.99969,927.83869,0.0,18386.161,4.8,0.0,95.2,4.803969622341254,536.268,13843,4570,9273,67.0,25.813585744441212,rural,215.0,204.0,353.0,59.0,46.0,64.0,"$46,312",5,"$35,000 to $49,999",10068.38
62,Anoka,MN,1830301200000.0,142276250.0,2843941200.0,57269460.0,461591.0,461591.0,0.0,0.0,100.0,0.0,0.0,85.73410870920878,423.01,330844,286178,44666,13.5,782.1186260372095,urban,27.0,18.0,378.0,4.0,3.0,81.0,"$82,284",7,"$75,000 to $99,999",12022.59
63,Chisago,MN,262738283000.0,29027294.6,499582700.0,18584589.0,75183.0,31120.715,44062.285,0.0,41.4,58.6,0.0,41.393287352294045,414.861,53887,23932,29955,55.6,129.89138556917723,rural,101.0,73.0,380.0,19.0,11.0,82.0,"$82,814",7,"$75,000 to $99,999",12022.59
64,Dakota,MN,2827851700000.0,171393510.0,3425962400.0,68989828.0,556057.0,556057.0,0.0,0.0,100.0,0.0,0.0,100.0,562.168,398552,378900,19652,4.9,708.9553300792645,suburban,20.0,22.0,345.0,3.0,4.0,58.0,"$86,403",7,"$75,000 to $99,999",12022.59
65,Dodge,MN,115786285300.0,13841778.13,195607166.0,8326613.64,28024.9999,2412.9165,6609.1264,19002.957,8.6,23.6,67.8,8.60987156556021,439.276,20087,9689,10398,51.8,45.727515275134536,rural,179.0,145.0,371.0,48.0,28.0,74.0,"$75,955",7,"$75,000 to $99,999",12022.59
66,Hennepin,MN,6375472600000.0,495589640.0,9906276200.0,199486220.0,1607856.0,1607856.0,0.0,0.0,100.0,0.0,0.0,100.0,553.591,1152425,1126784,25641,2.2,2081.7264008988586,urban,6.0,8.0,348.0,1.0,2.0,60.0,"$76,067",7,"$75,000 to $99,999",12022.59
67,Olmsted,MN,1023485800000.0,62032543.0,1239960400.0,24969525.0,201254.0,201254.0,0.0,0.0,100.0,0.0,0.0,94.521433925443,653.349,144248,120313,23935,16.6,220.78246082874543,suburban,41.0,52.0,320.0,7.0,8.0,46.0,"$76,001",7,"$75,000 to $99,999",12022.59
68,Sherburne,MN,349233500000.0,38058097.0,760738300.0,15319259.0,123473.0,123473.0,0.0,0.0,100.0,0.0,0.0,75.9629520452445,432.917,88499,49389,39110,44.2,204.42486666035293,suburban,87.0,55.0,374.0,15.0,9.0,77.0,"$81,850",7,"$75,000 to $99,999",12022.59
69,Wright,MN,884787820000.0,53626183.0,1071926700.0,21585772.0,173981.0,173981.0,0.0,0.0,100.0,0.0,0.0,87.3559223471942,661.457,124700,84163,40537,32.5,188.52321466096814,suburban,45.0,58.0,318.0,9.0,10.0,45.0,"$87,377",7,"$75,000 to $99,999",12022.59
70,Becker,MN,217761581000.0,23973490.0,320803307.0,14289264.2,45348.9999,0.0,6901.7649,38447.235,0.0,15.2,84.8,0.0,1315.203,32504,7973,24531,75.5,24.71405554883923,rural,116.0,210.0,80.0,24.0,48.0,15.0,"$59,440",6,"$50,000 to $74,999",14738.56
71,Benton,MN,175828587000.0,18345408.9,337971506.0,8711115.2,53646.9996,45512.334,8134.6656,0.0,84.8,15.2,0.0,44.836681357279026,408.301,38451,23066,15385,40.0,94.17317126335718,suburban,136.0,90.0,381.0,34.0,14.0,83.0,"$61,341",6,"$50,000 to $74,999",14738.56
72,Big Stone,MN,32581373000.0,3796538.7,51912175.0,2358743.84,7351.0,0.0,2213.8551,5137.1449,0.0,30.1,69.9,0.0,499.022,5269,0,5269,100.0,10.558652724729571,rural,311.0,286.0,360.0,80.0,72.0,67.0,"$51,058",6,"$50,000 to $74,999",14738.56
73,Blue Earth,MN,265569868900.0,28960528.33,553158408.0,12002489.83,89311.0002,87194.28300000001,2116.7172,0.0,97.6,2.4,0.0,57.62994791377109,747.843,64013,46798,17215,26.9,85.59672872952113,suburban,99.0,97.0,290.0,18.0,16.0,34.0,"$58,132",6,"$50,000 to $74,999",14738.56
74,Carlton,MN,214475307000.0,23063670.5,338386516.0,13782245.8,49370.0,11301.223,14218.29,23850.487,22.9,28.8,48.3,22.89087164101985,861.381,35386,15865,19521,55.2,41.08054391726773,rural,118.0,161.0,253.0,26.0,34.0,27.0,"$60,412",6,"$50,000 to $74,999",14738.56
75,Chippewa,MN,69492664200.0,8219518.64,120169090.0,5238938.25,17358.000099999994,2406.3483,7865.5427,7086.1091,13.9,45.3,40.8,13.863050213021582,581.122,12441,6178,6263,50.3,21.40858546054013,rural,229.0,226.0,340.0,63.0,52.0,54.0,"$53,540",6,"$50,000 to $74,999",14738.56
76,Clearwater,MN,50092702000.0,6563917.5,85966827.0,3750810.0,12131.0,0.0,0.0,12131.0,0.0,0.0,100.0,0.0,998.94,8695,0,8695,100.0,8.704226480068872,rural,269.0,306.0,135.0,74.0,79.0,21.0,"$51,475",6,"$50,000 to $74,999",14738.56
77,Cook,MN,30857835500.0,3681041.47,50239083.5,2047613.78,7222.0,1029.9158,0.0,6192.0842,14.3,0.0,85.7,14.26081173738257,1452.277,5176,0,5176,100.0,3.564058371784446,rural,315.0,357.0,68.0,82.0,86.0,12.0,"$54,465",6,"$50,000 to $74,999",14738.56
78,Cottonwood,MN,60027191000.0,7994397.300000002,114724579.0,5434810.4,16306.0,0.0,10135.02,6170.98,0.0,62.2,37.8,0.0,638.61,11687,4409,7278,62.3,18.300684298711264,rural,244.0,246.0,323.0,67.0,57.0,47.0,"$51,788",6,"$50,000 to $74,999",14738.56
79,Crow Wing,MN,410716762000.0,43339125.4,604771814.0,24952972.0,87200.00099999999,13474.028,10739.546,62986.427,15.5,12.3,72.2,15.451866476268771,999.095,62500,23290,39210,62.7,62.55661373543056,rural,75.0,119.0,134.0,12.0,21.0,20.0,"$53,481",6,"$50,000 to $74,999",14738.56
80,Douglas,MN,176613338000.0,24672911.9,348148253.0,14520551.6,50240.0003,7751.9022,9847.8131,32640.285,15.4,19.6,65.0,15.429741702101335,637.3,36009,16983,19026,52.8,56.50243213557195,rural,135.0,126.0,324.0,33.0,24.0,48.0,"$60,979",6,"$50,000 to $74,999",14738.56
81,Faribault,MN,103001281600.0,10883569.3,143782479.9,6326540.069999998,20304.0,0.0,1255.5910000000001,19048.409,0.0,6.2,93.8,0.0,712.476,14553,3257,11296,77.6,20.425951189934814,rural,191.0,233.0,300.0,51.0,55.0,38.0,"$52,560",6,"$50,000 to $74,999",14738.56
82,Fillmore,MN,100568096700.0,14346283.0,201052802.0,8089166.220000002,29111.9999,5551.8853,2248.9556,21311.159,19.1,7.7,73.2,19.070779536006746,861.3,20866,1402,19464,93.3,24.226169743411123,rural,195.0,214.0,254.0,52.0,49.0,28.0,"$58,761",6,"$50,000 to $74,999",14738.56
83,Freeborn,MN,223928750000.0,13997288.0,269226490.0,5634230.1,43607.0,43607.0,0.0,0.0,100.0,0.0,0.0,74.9386887656465,707.087,31255,17868,13387,42.8,44.20248144853462,suburban,114.0,151.0,305.0,23.0,31.0,41.0,"$52,010",6,"$50,000 to $74,999",14738.56
