ZIP Code,DMV ID,Vehicle Name,Registration Valid Date
75001,1,Tesla Model S,03/06/2019
75001,1,BMW i8,03/06/2019
75001,1,Ford Fusion Energi,03/06/2019
75001,1,Chevrolet Volt,03/06/2019
75001,1,Chevrolet Volt,03/06/2019
75001,1,Chevrolet Volt,03/06/2019
75002,1,BMW i3,03/06/2019
75002,1,BMW i3,03/06/2019
75002,1,Chevrolet Bolt EV,03/06/2019
75002,1,Chevrolet Bolt EV,03/06/2019
75002,1,Chevrolet Bolt EV,03/06/2019
75002,1,Chevrolet Bolt EV,03/06/2019
75002,1,Chevrolet Bolt EV,03/06/2019
75002,1,Ford Focus EV,03/06/2019
75002,1,Nissan Leaf,03/06/2019
75002,1,Nissan Leaf,03/06/2019
75002,1,Nissan Leaf,03/06/2019
75002,1,Nissan Leaf,03/06/2019
75002,1,Nissan Leaf,03/06/2019
75002,1,Nissan Leaf,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model 3,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model S,03/06/2019
75002,1,Tesla Model X,03/06/2019
75002,1,Tesla Model X,03/06/2019
75002,1,Tesla Model X,03/06/2019
75002,1,Tesla Model X,03/06/2019
75002,1,Tesla Model X,03/06/2019
75002,1,Tesla Model X,03/06/2019
75002,1,Tesla Model X,03/06/2019
75002,1,Tesla Model X,03/06/2019
75002,1,Tesla Model X,03/06/2019
75002,1,Tesla Model X,03/06/2019
75002,1,Tesla Model X,03/06/2019
75002,1,Tesla Model X,03/06/2019
75002,1,Ford C-Max Energi,03/06/2019
75002,1,Ford C-Max Energi,03/06/2019
75002,1,Ford Fusion Energi,03/06/2019
75002,1,Ford Fusion Energi,03/06/2019
75002,1,Ford Fusion Energi,03/06/2019
75002,1,Ford Fusion Energi,03/06/2019
75002,1,Honda Clarity Plug In,03/06/2019
75002,1,Honda Clarity Plug In,03/06/2019
75002,1,Honda Clarity Plug In,03/06/2019
75002,1,Honda Clarity Plug In,03/06/2019
75002,1,Honda Clarity Plug In,03/06/2019
75002,1,Honda Clarity Plug In,03/06/2019
75002,1,Honda Clarity Plug In,03/06/2019
75002,1,Toyota Prius Prime,03/06/2019
75002,1,Toyota Prius Prime,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75002,1,Chevrolet Volt,03/06/2019
75006,1,Chevrolet Bolt EV,03/06/2019
75006,1,Nissan Leaf,03/06/2019
75006,1,Nissan Leaf,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model 3,03/06/2019
75006,1,Tesla Model S,03/06/2019
75006,1,Tesla Model S,03/06/2019
75006,1,Tesla Model S,03/06/2019
75006,1,Tesla Model S,03/06/2019
75006,1,Tesla Model S,03/06/2019
75006,1,Tesla Model S,03/06/2019
75006,1,Tesla Model X,03/06/2019
75006,1,Tesla Model X,03/06/2019
75006,1,Tesla Model X,03/06/2019
75006,1,Ford Fusion Energi,03/06/2019
75006,1,Honda Clarity Plug In,03/06/2019
75006,1,Toyota Prius Prime,03/06/2019
75006,1,Toyota Prius Prime,03/06/2019
75006,1,Toyota Prius Prime,03/06/2019
75006,1,Toyota Prius Prime,03/06/2019
75006,1,Chevrolet Volt,03/06/2019
75006,1,Chevrolet Volt,03/06/2019
75007,1,BMW i3,03/06/2019
75007,1,Chevrolet Bolt EV,03/06/2019
75007,1,Chevrolet Bolt EV,03/06/2019
75007,1,Chevrolet Bolt EV,03/06/2019
75007,1,Chevrolet Bolt EV,03/06/2019
75007,1,Chevrolet Bolt EV,03/06/2019
75007,1,Fiat 500e,03/06/2019
75007,1,Fiat 500e,03/06/2019
75007,1,Fiat 500e,03/06/2019
75007,1,Nissan Leaf,03/06/2019
75007,1,Nissan Leaf,03/06/2019
75007,1,Nissan Leaf,03/06/2019
75007,1,Nissan Leaf,03/06/2019
75007,1,Nissan Leaf,03/06/2019
75007,1,Nissan Leaf,03/06/2019
75007,1,Tesla Model 3,03/06/2019
75007,1,Tesla Model 3,03/06/2019
75007,1,Tesla Model 3,03/06/2019
75007,1,Tesla Model 3,03/06/2019
75007,1,Tesla Model 3,03/06/2019
