,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,State
113,Otter Tail,252750677000.0,42067227.1,565369770.0,25285207.5,79949.0,0.0,14581.699,65367.301,0.0,18.2,81.8,MN
114,Pennington,57245462000.0,10516012.0,137726920.0,6009149.5,19435.0,0.0,0.0,19435.0,0.0,0.0,100.0,MN
115,Pine,174153443000.0,19965637.5,285229475.0,11380563.6,41507.0002,9268.1844,5544.9718,26693.844,22.3,13.4,64.3,MN
116,Pipestone,53681848000.0,6098425.2,91516952.0,3774549.59,13388.0,3194.1905,5413.9446,4779.8649,23.9,40.4,35.7,MN
117,Polk MN,201452737500.0,21832909.77,309795335.8,12422830.93,44088.00033,886.00533,0.0,43201.995,2.0,0.0,98.0,MN
118,Pope,51241589752.0,7881691.956799999,108286627.337,4940646.25652,15340.0000012,3.3757012,5110.9423,10225.682,0.0,33.3,66.7,MN
119,Ramsey,3644168600000.0,227788870.0,4381334400.0,91690257.0,709651.0,709651.0,0.0,0.0,100.0,0.0,0.0,MN
120,Red Lake,18483007900.0,2970948.68,40312766.9,1818955.11,5705.0,0.0,1418.3006,4286.6994,0.0,24.9,75.1,MN
121,Redwood,87452795000.0,10409496.8,154731846.0,6784123.84,22404.9997,3362.4766,11907.553,7134.9701,15.0,53.1,31.8,MN
122,Renville,83133503000.0,10104880.4,151224580.0,6587460.35,21946.000500000002,3648.8052,11824.829,6472.3663,16.6,53.9,29.5,MN
123,Rice,334322704000.0,41021618.9,614891100.0,26300269.9,89490.0,17159.604,44321.735,28008.661,19.2,49.5,31.3,MN
124,Rock,60390847000.0,6493769.08,93531362.0,3982393.36,13515.0,2056.6026,4481.3175,6977.0799,15.2,33.2,51.6,MN
125,Roseau,90039680000.0,11798386.0,154522020.0,6741934.9,21805.0,0.0,0.0,21805.0,0.0,0.0,100.0,MN
126,St. Louis,1382161726000.0,143706873.4,1951368402.0,81349821.6,279354.004,30089.433,10092.581,239171.99,10.8,3.6,85.6,MN
127,Scott,705926930000.0,66162356.0,1160403130.0,34623042.0,181274.99800000002,133263.13,48011.868,0.0,73.5,26.5,0.0,MN
128,Sherburne,527700740000.0,48562262.0,825998440.0,31930053.7,123473.0,44404.536,79068.464,0.0,36.0,64.0,0.0,MN
129,Sibley,71980471700.0,10802701.719999999,149427610.0,6723737.881999999,21243.00025,606.75015,6826.1401,13810.11,2.9,32.1,65.0,MN
130,Stearns,865285008000.0,101373873.6,1464638380.0,65740070.7,210174.99699999997,17943.924,102743.9,89487.173,8.5,48.9,42.6,MN
131,Steele,204332596000.0,22176244.8,343956690.0,13330288.3,51031.0,17675.679,18905.14,14450.181,34.6,37.0,28.3,MN
132,Stevens,48845868700.0,5939717.239999999,92593830.0,3971049.45,13570.0,3130.1987,8732.1645,1707.6368,23.1,64.3,12.6,MN
133,Swift,65992512000.0,7052276.3,96391186.0,4378166.5,13649.0,0.0,4073.4337,9575.5663,0.0,29.8,70.2,MN
134,Todd,138195096000.0,17674703.34,243205637.0,10525692.96,34732.9998,2617.0504,6640.0464,25475.903,7.5,19.1,73.3,MN
135,Traverse,23465278000.0,2472513.0,34964149.0,1412864.5,4964.0,0.0,0.0,4964.0,0.0,0.0,100.0,MN
136,Wabasha,117245545000.0,13476887.9,205781470.0,8402589.399999999,30241.9997,8148.6558,13371.354,8721.9899,26.9,44.2,28.8,MN
137,Wadena,86975014900.0,9487268.709999999,135263632.4,5365671.23,19313.99969,927.83869,0.0,18386.161,4.8,0.0,95.2,MN
138,Waseca,118811080000.0,12959585.5,187710128.0,8960031.0,26698.0003,0.0,18181.092,8516.9083,0.0,68.1,31.9,MN
139,Washington MN,1436703860000.0,123669837.0,2153497330.0,69847329.0,332246.0,209199.71,123046.29,0.0,63.0,37.0,0.0,MN
140,Watonwan,72045757000.0,7857749.5,110241750.0,5123874.3,15642.0,0.0,7411.732,8230.268,0.0,47.4,52.6,MN
141,Wilkin,36424942000.0,4863539.16,64918084.4,2884724.81,9175.0,0.0,1234.5591,7940.4409,0.0,13.5,86.5,MN
142,Winona,318693442000.0,34296221.6,496211848.0,21059518.0,71797.99900000001,11602.549,24451.844,35743.606,16.2,34.1,49.8,MN
143,Wright,678056380000.0,65793915.0,1147522260.0,40827250.0,173981.0,82390.307,91590.693,0.0,47.4,52.6,0.0,MN
144,Yellow Medicine,53904179100.0,7100187.862,102226657.2,4792604.146,14562.99998,281.56128,8778.7767,5502.662,1.9,60.3,37.8,MN
145,Anderson,203286679000.0,15512755.3,336311335.0,11652843.87,49759.000400000004,5115.5414,0.0,44643.459,10.3,0.0,89.7,TX
146,Andrews,35902182391.3,8874551.677070001,156387255.999,6774415.77133,22536.9998482,2.3058482,0.0,22534.694,0.0,0.0,100.0,TX
147,Angelina,335340066000.0,25294223.5,551816545.0,18893058.0,82086.0,11249.102,0.0,70836.898,13.7,0.0,86.3,TX
148,Aransas,97805340000.0,7766375.300000001,172317084.0,5710984.93,26000.9998,5889.6188,0.0,20111.381,22.7,0.0,77.3,TX
149,Archer,71935965200.0,5666626.355,82539083.5,4318313.938,11791.999969999999,325.46697,0.0,11466.533,2.8,0.0,97.2,TX
150,Armstrong,4395163900.0,1327565.7,19046111.0,1013408.9,2707.0,0.0,0.0,2707.0,0.0,0.0,100.0,TX
151,Atascosa,291744672500.0,23595841.0,355319474.0,18171949.2,50680.000400000004,0.0,4936.3014,45743.699,0.0,9.7,90.3,TX
152,Austin,233936258400.0,18239412.76,287146003.2,13828404.58,41920.0003,5723.7265,1066.4858,35129.788,13.7,2.5,83.8,TX
153,Bailey,26730722000.0,2110535.5,44930899.0,1611095.8,6542.0,0.0,0.0,6542.0,0.0,0.0,100.0,TX
154,Bandera,159948531200.0,12667533.642,197485546.86,9580887.993,28828.999506,4054.3417,81.441806,24693.216,14.1,0.3,85.7,TX
155,Bastrop,233596591000.0,38102272.4,659566499.0,29097992.5,97583.0,18032.306,12963.015,66587.679,18.5,13.3,68.2,TX
156,Baylor,17251356000.0,1364008.6,29038190.0,1041227.9,4228.0,0.0,0.0,4228.0,0.0,0.0,100.0,TX
157,Bee,96548492000.0,7623027.2,162285570.0,5819104.7,23629.0,0.0,0.0,23629.0,0.0,0.0,100.0,TX
158,Bell,981135340000.0,82521457.0,2016217480.0,64248680.2,311970.998,113136.02,117710.44,81124.538,36.3,37.7,26.0,TX
159,Bexar,6086401400000.0,271260400.0,9826597600.0,200992456.0,1615122.98,1061801.7,553321.28,0.0,65.7,34.3,0.0,TX
160,Blanco,35057406901.2,8326849.96394,133329788.0653,6274293.92948,19629.00037312,3633.2193,0.78707312,15994.994,18.5,0.0,81.5,TX
161,Borden,1732412200.0,523277.65,7507277.7,399448.59,1067.0,0.0,0.0,1067.0,0.0,0.0,100.0,TX
162,Bosque,95579423800.0,7550235.66,161324782.9,5745185.037,23566.00002,496.88802,0.0,23069.112,2.1,0.0,97.9,TX
163,Bowie,239968358000.0,27121659.2,586076902.0,20432779.54,86467.99990000001,7330.7329,0.0,79137.267,8.5,0.0,91.5,TX
164,Brazoria,1487035480000.0,119490650.7,2196713140.0,90465877.3,330606.996,90627.756,40134.2,199845.04,27.4,12.1,60.4,TX
165,Brazos,475063873000.0,41273988.9,1006265960.0,30736944.7,159123.0,79961.19,32025.001,47136.809,50.3,20.1,29.6,TX
166,Brewster,28621284000.0,3479383.3,74072111.0,2656017.8,10785.0,0.0,0.0,10785.0,0.0,0.0,100.0,TX
