,counties,county_stripped
353,"Shackelford County, Texas",Shackelford
354,"Shelby County, Texas",Shelby
355,"Sherman County, Texas",Sherman
356,"Smith County, Texas",Smith
357,"Somervell County, Texas",Somervell
358,"Starr County, Texas",Starr
359,"Stephens County, Texas",Stephens
360,"Sterling County, Texas",Sterling
361,"Stonewall County, Texas",Stonewall
362,"Sutton County, Texas",Sutton
363,"Swisher County, Texas",Swisher
364,"Tarrant County, Texas",Tarrant
365,"Taylor County, Texas",Taylor
366,"Terrell County, Texas",Terrell
367,"Terry County, Texas",Terry
368,"Throckmorton County, Texas",Throckmorton
369,"Titus County, Texas",Titus
370,"Tom Green County, Texas",Tom Green
371,"Travis County, Texas",Travis
372,"Trinity County, Texas",Trinity
373,"Tyler County, Texas",Tyler
374,"Upshur County, Texas",Upshur
375,"Upton County, Texas",Upton
376,"Uvalde County, Texas",Uvalde
377,"Val Verde County, Texas",Val Verde
378,"Van Zandt County, Texas",Van Zandt
379,"Victoria County, Texas",Victoria
380,"Walker County, Texas",Walker
381,"Waller County, Texas",Waller
382,"Ward County, Texas",Ward
383,"Washington County, Texas",Washington
384,"Webb County, Texas",Webb
385,"Wharton County, Texas",Wharton
386,"Wheeler County, Texas",Wheeler
387,"Wichita County, Texas",Wichita
388,"Wilbarger County, Texas",Wilbarger
389,"Willacy County, Texas",Willacy
390,"Williamson County, Texas",Williamson
391,"Wilson County, Texas",Wilson
392,"Winkler County, Texas",Winkler
393,"Wise County, Texas",Wise
394,"Wood County, Texas",Wood
395,"Yoakum County, Texas",Yoakum
396,"Young County, Texas",Young
397,"Zapata County, Texas",Zapata
398,"Zavala County, Texas",Zavala
