,Fuel Type Code,Station Name,City,State,ZIP,Latitude,Longitude,ID,E85 Blender Pump,Points,County
1251,E85,Kum & Go #579,Ankeny,IA,50023,41.717284,-93.601653,47308,True,"(-93.601653, 41.717284)",Polk
1252,E85,Kum & Go #510,Stuart,IA,50250,41.496476,-94.317715,47309,True,"(-94.317715, 41.496476)",Adair
1253,E85,McClure Oil #65,Cicero,IN,46034,40.101690999999995,-86.12763199999999,47310,False,"(-86.12763199999999, 40.101690999999995)",Hamilton
1254,E85,United Co-op,Pickett,WI,54964,43.910939,-88.731734,47314,True,"(-88.731734, 43.910939)",Winnebago
1255,E85,United Co-op,Reedsburg,WI,53959,43.532284000000004,-90.006264,47315,True,"(-90.006264, 43.532284000000004)",Sauk
1256,E85,United Co-op,Wyocena,WI,53969,43.488426000000004,-89.313316,47316,True,"(-89.313316, 43.488426000000004)",Columbia
1257,E85,Chevron - Jack's Corner,Byron,GA,31008,32.6139,-83.7411,47451,False,"(-83.7411, 32.6139)",Peach
1258,E85,Appletree Food Mart,Princeton,TX,75407,33.17311,-96.489828,48015,False,"(-96.489828, 33.17311)",Collin
1259,E85,Pacific Pride - Ira Phillips Inc,Gadsden,AL,35901,34.016352000000005,-85.999972,48016,False,"(-85.999972, 34.016352000000005)",Etowah
1260,E85,Propel Fuels - Arco,Claremont,CA,91711,34.107343,-117.702417,48017,False,"(-117.702417, 34.107343)",Los Angeles
1261,E85,Propel Fuels - Chevron,Hemet,CA,92545,33.747042,-117.00618999999999,48018,False,"(-117.00618999999999, 33.747042)",Riverside
1262,E85,Propel Fuels - 76,La Mirada,CA,90638,33.916742,-118.029705,48019,False,"(-118.029705, 33.916742)",Los Angeles
1263,E85,Ontario CNG - 76,Ontario,CA,91761,34.063139,-117.61148,48020,False,"(-117.61148, 34.063139)",San Bernardino
1264,E85,Propel Fuels - Shell,Torrance,CA,90502,33.842434999999995,-118.28712,48022,False,"(-118.28712, 33.842434999999995)",Los Angeles
1265,E85,ProGo,Primghar,IA,51245,43.085682,-95.624684,48023,True,"(-95.624684, 43.085682)",O'Brien
1266,E85,Energy Express,Ballwin,MO,63011,38.595756,-90.488527,48024,False,"(-90.488527, 38.595756)",St. Louis
1267,E85,Easy Check #9,Denton,TX,76201,33.20632,-97.13888,48028,False,"(-97.13888, 33.20632)",Denton
1268,E85,Kum & Go #657,Colorado Springs,CO,80918,38.915256,-104.788063,48533,True,"(-104.788063, 38.915256)",El Paso
